id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,producers-0,forks-17,65.94734,DN-50,4813.7708,1,3067221.757037376,11.50208158889016
1,forks-17,forks-16,73.30798,DN-50,4802.2688,1,3402820.841160192,12.76057815435072
2,forks-16,forks-18,211.5585,DN-50,3218.4112,1,7139525.966841601,26.773222375655997
3,forks-18,forks-19,476.3006,DN-50,3191.6379,1,15971837.174021918,59.8943894025822
4,forks-19,forks-20,501.7944,DN-50,2985.4031,1,15998823.658581119,59.9955887196792
5,forks-20,forks-21,492.7132,DN-50,2925.4075,1,15472800.725031998,58.023002718869996
6,forks-21,consumers-3,1604.31,DN-50,2867.3845,1,49635869.01756,186.13450881585
7,forks-16,forks-15,268.4825,DN-50,1571.097,1,5522356.40242,20.708836509075002
8,forks-15,forks-14,382.7682,DN-50,1550.3882,1,7809660.004921921,29.2862250184572
9,forks-14,forks-13,317.1712,DN-50,1521.102,1,6396967.573299199,23.988628399872
10,forks-13,forks-12,343.3888,DN-50,1497.1133,1,6859845.91640832,25.724422186531196
11,forks-12,forks-11,119.6155,DN-50,1471.3889,1,2364931.3517436,8.8684925690385
12,forks-11,forks-8,178.6944,DN-50,1462.5204,1,3520308.8429260803,13.2011581609728
13,forks-8,forks-9,283.0456,DN-50,1449.3193,1,5546152.4068806395,20.7980715258024
14,forks-9,consumers-1,57.93915,DN-50,1428.5212,1,1125651.63267984,4.2211936225494
15,forks-18,forks-22,353.9138,,0.0,0,0.0,0.0
16,forks-22,forks-0,645.5208,,0.0,0,0.0,0.0
17,forks-0,forks-7,708.3168,,0.0,0,0.0,0.0
18,forks-7,forks-8,426.5864,,0.0,0,0.0,0.0
19,forks-22,forks-23,650.6181,,0.0,0,0.0,0.0
20,forks-23,consumers-2,121.7199,,0.0,0,0.0,0.0
21,producers-1,forks-1,138.9056,DN-50,1360.796,1,2623422.2788608,9.837833545728
22,forks-1,forks-2,86.59624,DN-50,1350.9582,1,1628673.1241373438,6.10752421551504
23,forks-2,forks-3,178.253,DN-50,1344.8507,1,3343813.3746168,12.539300154812999
24,forks-3,consumers-2,531.088,DN-30,336.49247,1,4442511.129073599,28.492471290736002
25,forks-3,forks-0,805.362,,0.0,0,0.0,0.0
26,forks-3,forks-10,805.8994,DN-50,995.81888,1,12867433.903205376,48.25287713702016
27,forks-10,forks-4,105.5681,DN-30,947.566,1,1528167.922446,12.114636224460002
28,forks-4,consumers-0,263.7838,DN-30,935.45137,1,3786488.1709380597,29.951367709380598
29,forks-10,forks-5,279.0613,,0.0,0,0.0,0.0
30,forks-5,forks-6,322.8501,,0.0,0,0.0,0.0
31,forks-6,forks-7,571.5881,,0.0,0,0.0,0.0
32,forks-19,forks-24,467.859,DN-30,146.34044,1,3023961.9191795997,16.203849191796
33,forks-24,forks-25,581.753,DN-30,130.13659,1,3665838.5164227006,19.205795164227002
34,forks-25,consumers-4,65.3134,DN-30,110.93079,1,399019.67059586,2.0307947059586002
35,forks-19,forks-26,602.9657,,0.0,0,0.0,0.0
36,forks-26,forks-25,491.9115,,0.0,0,0.0,0.0
