id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,forks-6,consumers-0,295.9,DN125,908.8228,1,513439.6765580464,3.3327997264627998
1,producers-1,forks-6,804.8,,0.0,0,0.0,0.0
2,producers-1,forks-0,366.63,DN125,2677.2655,1,803948.7213364751,5.03067653186835
3,forks-6,forks-0,527.23,DN125,2357.9878,-1,1112553.3304874846,7.00035065183366
4,forks-6,consumers-1,1488.15,DN125,1442.1647,1,2787594.7345889783,17.86465878364395
5,forks-2,consumers-5,396.19,DN125,2636.7139,1,864610.5885629299,5.413949155256991
6,forks-0,forks-5,806.81,,0.0,0,0.0,0.0
7,forks-0,consumers-2,598.56,DN125,314.24705,1,946514.2803588118,6.24705304280472
8,forks-4,consumers-2,556.77,,0.0,0,0.0,0.0
9,forks-4,consumers-6,1482.55,,0.0,0,0.0,0.0
10,forks-4,producers-2,1995.2,,0.0,0,0.0,0.0
11,forks-4,consumers-3,1298.85,,0.0,0,0.0,0.0
12,forks-2,consumers-6,855.31,DN125,366.98941,1,1364191.4964022064,8.989406700051267
13,forks-2,producers-2,599.6,DN125,3012.2099,-1,1366777.1701556952,8.506508267895601
14,forks-5,producers-0,581.42,,0.0,0,0.0,0.0
15,producers-0,forks-7,713.85,DN125,1725.3404,1,1389489.919996594,8.850471599910602
16,forks-7,consumers-3,750.93,,0.0,0,0.0,0.0
17,forks-7,consumers-4,1003.25,DN125,119.12863,1,1535802.581123944,10.198626959286026
18,forks-7,consumers-7,1338.86,DN125,1597.3613,1,2561715.242528635,16.36131397866402
19,producers-4,forks-7,1306.38,,0.0,0,0.0,0.0
20,producers-4,forks-1,940.34,,0.0,0,0.0,0.0
21,forks-1,consumers-3,892.36,,0.0,0,0.0,0.0
22,forks-3,consumers-3,452.1,DN125,2687.4599,1,992560.5706443114,6.209850862898101
23,forks-3,consumers-9,700.71,DN125,685.67494,1,1175395.3715878078,7.674938409218287
24,forks-3,producers-3,1029.71,DN125,3388.2815,-1,2447413.859831935,15.14673680727735
25,producers-3,forks-1,556.77,DN125,599.33847,1,921506.2483332852,6.031534215119241
26,forks-1,consumers-8,1737.41,DN125,593.30694,1,2872863.744617177,18.806936200769307
27,forks-5,consumers-1,1144.0,,0.0,0,0.0,0.0
