id,from_node,to_node,length
0,forks-3,consumers-0,295.9
1,forks-3,producers-1,804.8
2,producers-1,forks-0,366.63
3,forks-3,forks-0,527.23
4,forks-3,consumers-1,1488.15
5,forks-6,consumers-5,396.19
6,forks-0,forks-2,806.81
7,forks-0,consumers-2,598.56
8,forks-1,consumers-2,556.77
9,forks-1,consumers-6,1482.55
10,forks-1,producers-2,1995.2
11,forks-1,consumers-3,1298.85
12,forks-6,consumers-6,855.31
13,forks-6,producers-2,599.6
14,forks-2,producers-0,581.42
15,producers-0,forks-4,713.85
16,forks-4,consumers-3,750.93
17,forks-4,consumers-4,1003.25
18,forks-4,consumers-7,1338.86
19,producers-4,forks-4,1306.38
20,producers-4,forks-5,940.34
21,forks-5,consumers-3,892.36
22,forks-7,consumers-3,452.1
23,forks-7,consumers-9,700.71
24,forks-7,producers-3,1029.71
25,producers-3,forks-5,556.77
26,forks-5,consumers-8,1737.41
27,forks-2,consumers-1,1144
