thermal_demand,electricity_price,co2_price,gas_price,waste_heat,biomass_price
5458.6,38.37,82.25,70.807,6.9248,26.03
5393.36,28.46,82.25,70.807,6.9642,26.03
5356.19,26.66,82.25,70.807,6.8958,26.03
5329.82,24.48,82.25,70.807,6.5079,26.03
5432.13,24.01,82.25,70.807,6.5961,26.03
5487.92,21.23,82.25,70.807,6.6682,26.03
5693.57,22.62,82.25,70.807,12.209,26.03
5718.23,25.04,82.25,70.807,10.1656,26.03
5745.83,26.24,82.25,70.807,12.065,26.03
5622.92,32.21,82.25,70.807,11.7681,26.03
6101.44,41.34,82.25,70.807,18.8449,26.03
6124.91,43.51,82.25,70.807,17.5768,26.03
6181.25,58.64,82.25,70.807,17.125,26.03
5858.49,61.14,82.25,70.807,17.5935,26.03
5854.98,60.34,82.25,70.807,17.198,26.03
5795.81,77.56,82.25,70.807,15.3591,26.03
5767.59,68.4,82.25,70.807,10.9628,26.03
6348.98,74.16,82.25,70.807,15.9076,26.03
6478.88,65.01,82.25,70.807,16.5356,26.03
6279.24,55.91,82.25,70.807,14.1199,26.03
5651.17,48.15,82.25,70.807,10.6807,26.03
5556.96,64.94,82.25,70.807,11.1885,26.03
5652.89,45.2,82.25,70.807,7.3308,26.03
5643.71,38,82.25,70.807,7.006,26.03
5579.19,38,82.25,70.807,6.5199,26.03
5506.64,33.56,82.25,70.807,6.9894,26.03
5498.66,32.03,82.25,70.807,6.5395,26.03
5500.73,53.5,82.25,70.807,6.8195,26.03
5472.78,76.48,82.25,70.807,5.834,26.03
5457.96,180.05,82.25,70.807,7.5142,26.03
5786.1,110.09,82.25,70.807,12.7035,26.03
5989.87,483.08,82.25,70.807,11.5692,26.03
6045.87,250.03,82.25,70.807,14.6331,26.03
5857.52,120,82.25,70.807,16.4187,26.03
6109.82,110.02,82.25,70.807,11.0288,26.03
6011.12,98.1,82.25,70.807,15.3532,26.03
5777.11,128.1,82.25,70.807,13.4887,26.03
5413.57,100.1,82.25,70.807,15.5292,26.03
5439.67,100.09,82.25,70.807,12.7894,26.03
5629.46,97.14,82.25,70.807,18.4273,26.03
5678.28,99.25,82.25,70.807,17.3297,26.03
6116.29,94.89,82.25,70.807,16.4106,26.03
6281.08,91.7,82.25,70.807,13.6379,26.03
6232.17,88.52,82.25,70.807,10.8087,26.03
5709.15,100.06,82.25,70.807,12.5917,26.03
5621.54,100.02,82.25,70.807,13.4899,26.03
5513.58,40.99,82.25,70.807,7.6668,26.03
5420.41,38.35,82.25,70.807,7.2039,26.03
5385.45,49.08,82.25,70.807,7.264,26.03
5371.91,49.06,82.25,70.807,7.2112,26.03
5210.5,49.05,82.25,70.807,7.2307,26.03
5230.55,49.05,82.25,70.807,6.5244,26.03
5141.48,49.07,82.25,70.807,6.7166,26.03
5200.9,86.7,82.25,70.807,7.0001,26.03
5571.57,95.05,82.25,70.807,10.2451,26.03
5694.06,131.51,82.25,70.807,13.4767,26.03
5764.58,132.95,82.25,70.807,13.3622,26.03
5580.79,128.81,82.25,70.807,10.7102,26.03
6016.1,98.93,82.25,70.807,16.1587,26.03
6174.79,129.91,82.25,70.807,18.6652,26.03
6266,118.79,82.25,70.807,14.0223,26.03
6014.06,97.05,82.25,70.807,14.5028,26.03
6109.26,96.19,82.25,70.807,14.6394,26.03
6247.28,119.02,82.25,70.807,14.3997,26.03
6335.4,129.91,82.25,70.807,17.5333,26.03
6860.57,147.62,82.25,70.807,14.3343,26.03
6908.22,118.8,82.25,70.807,14.1944,26.03
6709.52,95.1,82.25,70.807,11.7352,26.03
6028.34,85.82,82.25,70.807,14.1441,26.03
5891.46,76.38,82.25,70.807,11.3793,26.03
5827.24,65,82.25,70.807,7.2364,26.03
5673.9,58.12,82.25,70.807,7.5168,26.03
5533.64,129.25,82.25,70.807,7.118,26.03
5470.78,106.34,82.25,70.807,7.2189,26.03
5427.49,94.42,82.25,70.807,7.4551,26.03
5312.95,97.79,82.25,70.807,7.4038,26.03
5227.8,121.44,82.25,70.807,7.2688,26.03
5391.21,180.21,82.25,70.807,6.9003,26.03
5971.64,148.11,82.25,70.807,10.2864,26.03
6243.11,379.25,82.25,70.807,11.0787,26.03
6303.98,299.99,82.25,70.807,14.775,26.03
6179.16,300,82.25,70.807,13.0978,26.03
6495.33,300.07,82.25,70.807,12.7961,26.03
6555.59,300,82.25,70.807,13.6125,26.03
6566.4,299.99,82.25,70.807,14.9622,26.03
6208.82,296.18,82.25,70.807,16.3862,26.03
6157.81,299.99,82.25,70.807,14.3067,26.03
6101.24,362.14,82.25,70.807,12.7246,26.03
6042.51,300,82.25,70.807,16.9127,26.03
6438.48,299.99,82.25,70.807,16.286,26.03
6571.98,249.96,82.25,70.807,15.805,26.03
6551.59,203.72,82.25,70.807,11.9394,26.03
6001.13,149.99,82.25,70.807,14.8133,26.03
5793.19,150,82.25,70.807,12.7474,26.03
5638.46,143.09,82.25,70.807,7.2222,26.03
5411.72,111.11,82.25,70.807,6.7909,26.03
5369.96,169.99,82.25,91.338,7.0179,26.03
5360.63,150.07,82.25,91.338,7.5941,26.03
5258.1,150.06,82.25,91.338,6.3755,26.03
5298.72,150.07,82.25,91.338,7.364,26.03
5296.55,150.09,82.25,91.338,7.4464,26.03
5444.23,350,82.25,91.338,6.9681,26.03
5812.6,999.94,82.25,91.338,11.6654,26.03
6066.87,1478.91,82.25,91.338,13.3092,26.03
6131.36,1251.67,82.25,91.338,13.645,26.03
6123.31,1000,82.25,91.338,11.8081,26.03
6671.16,999.98,82.25,91.338,13.6965,26.03
6772.91,800,82.25,91.338,15.6827,26.03
6819.17,999.91,82.25,91.338,15.9067,26.03
6562.75,899.06,82.25,91.338,11.6808,26.03
6642.06,999.97,82.25,91.338,15.5544,26.03
6657.94,1000,82.25,91.338,12.8479,26.03
6828.2,800,82.25,91.338,16.6612,26.03
7258.92,710.08,82.25,91.338,15.9249,26.03
7107.76,800,82.25,91.338,14.85,26.03
6845.64,550.06,82.25,91.338,16.3246,26.03
6350.67,640.03,82.25,91.338,13.0305,26.03
6233.13,550,82.25,91.338,12.3505,26.03
6203.44,300.01,82.25,91.338,7.5555,26.03
6011.86,200,82.25,91.338,6.3845,26.03
5948.15,111.19,82.25,92.598,5.9177,26.03
5914.56,113.98,82.25,92.598,6.1164,26.03
5841.47,82.03,82.25,92.598,5.6724,26.03
5741.57,113.51,82.25,92.598,6.1089,26.03
6079.74,141.69,82.25,92.598,6.1885,26.03
6223.93,156.85,82.25,92.598,6.1564,26.03
6493.36,132.92,82.25,92.598,9.4023,26.03
6619.75,147.75,82.25,92.598,8.9452,26.03
6829,181.87,82.25,92.598,12.136,26.03
6828.33,184,82.25,92.598,11.5547,26.03
7239.7,176.37,82.25,92.598,13.6187,26.03
7469.85,176.81,82.25,92.598,13.0253,26.03
7399.2,178.09,82.25,92.598,13.9486,26.03
7000.48,161.34,82.25,92.598,12.6234,26.03
6907.07,184,82.25,92.598,12.8014,26.03
6908.28,200,82.25,92.598,12.9567,26.03
6774.07,299.99,82.25,92.598,11.7658,26.03
7232.47,244.45,82.25,92.598,11.9069,26.03
7300.69,200,82.25,92.598,11.7145,26.03
7195.84,179.78,82.25,92.598,12.7304,26.03
6590.6,164.51,82.25,92.598,11.3228,26.03
6439.08,176.17,82.25,92.598,10.296,26.03
6198.44,159.15,82.25,92.598,5.9081,26.03
6087.19,120.76,82.25,92.598,5.9959,26.03
5960.38,169.5,82.25,94.548,5.8675,26.03
5836.2,128.69,82.25,94.548,5.5231,26.03
5793.95,104,82.25,94.548,5.675,26.03
5752.99,93.2,82.25,94.548,6.1621,26.03
5717.22,93.19,82.25,94.548,5.6719,26.03
5833.96,93.19,82.25,94.548,6.0571,26.03
6284.67,84.99,82.25,94.548,10.0672,26.03
6573.53,96.89,82.25,94.548,10.3554,26.03
6804.46,93.2,82.25,94.548,11.5554,26.03
6747.56,118.35,82.25,94.548,12.2994,26.03
7100.61,97.53,82.25,94.548,15.1957,26.03
7076.46,93.19,82.25,94.548,12.7474,26.03
7097.48,91.5,82.25,94.548,11.8787,26.03
6831.93,87.52,82.25,94.548,11.5282,26.03
6758.13,87.23,82.25,94.548,13.7706,26.03
6785.1,93.2,82.25,94.548,11.9147,26.03
6742.43,96.21,82.25,94.548,13.4895,26.03
7122.95,104.27,82.25,94.548,13.1865,26.03
7127.24,106.09,82.25,94.548,12.0774,26.03
6978.9,103.56,82.25,94.548,12.0438,26.03
6396.92,100.5,82.25,94.548,10.4991,26.03
6296.1,93.31,82.25,94.548,10.2302,26.03
6153.74,91.17,82.25,94.548,5.8602,26.03
5925.6,83.86,82.25,94.548,6.2137,26.03
5674.28,87.02,82.25,90.886,7.4409,26.03
5510.5,84.32,82.25,90.886,6.5956,26.03
5418.74,81.82,82.25,90.886,7.2118,26.03
5427.59,79.11,82.25,90.886,7.1565,26.03
5593.1,78.48,82.25,90.886,6.9727,26.03
5752.31,82.1,82.25,90.886,6.6436,26.03
6325.47,94.3,82.25,90.886,9.4601,26.03
6422.63,111.22,82.25,90.886,9.3632,26.03
6357.42,121.11,82.25,90.886,17.6982,26.03
6219.06,120.73,82.25,90.886,13.4604,26.03
6495.94,113.9,82.25,90.886,18.6564,26.03
6624.13,139.05,82.25,90.886,17.0759,26.03
6690.07,161.05,82.25,90.886,16.5258,26.03
6257.58,137.91,82.25,90.886,15.8129,26.03
6354.99,167.2,82.25,90.886,14.7371,26.03
6389.4,162.52,82.25,90.886,13.4486,26.03
6351.92,129.93,82.25,90.886,16.018,26.03
7027.37,132.31,82.25,90.886,11.3959,26.03
7228.19,130.01,82.25,90.886,16.157,26.03
7211.55,122.12,82.25,90.886,12.92,26.03
6412.78,114.21,82.25,90.886,13.0391,26.03
6204.88,102.83,82.25,90.886,11.0958,26.03
6084.58,99.98,82.25,90.886,6.7202,26.03
5835.12,91.49,82.25,90.886,6.6665,26.03
5548.16,87.82,82.25,90.886,6.7352,27.95
5389.06,86.69,82.25,90.886,7.5095,27.95
5410.36,85,82.25,90.886,6.6133,27.95
5337.53,84.13,82.25,90.886,7.605,27.95
5307.79,85.41,82.25,90.886,7.1674,27.95
5403.87,90.12,82.25,90.886,7.0996,27.95
6069.78,108.51,82.25,90.886,11.3297,27.95
6387.88,123.22,82.25,90.886,11.4196,27.95
6330.12,133.25,82.25,90.886,12.5033,27.95
6048.59,120.89,82.25,90.886,11.8551,27.95
6434.56,112.78,82.25,90.886,14.5909,27.95
6493.51,105.4,82.25,90.886,11.0215,27.95
6476.85,100,82.25,90.886,15.8018,27.95
6223.57,100.6,82.25,90.886,15.2408,27.95
6451.66,112.36,82.25,90.886,13.6748,27.95
6803.7,121.09,82.25,90.886,17.4492,27.95
6882.34,130.99,82.25,90.886,15.6385,27.95
7302.91,137.95,82.25,90.886,11.8288,27.95
7362.63,137.72,82.25,90.886,15.9045,27.95
7244.22,130.33,82.25,90.886,12.3009,27.95
6573.54,117.36,82.25,90.886,13.3317,27.95
6375.09,109,82.25,90.886,11.2362,27.95
6323.42,103.63,82.25,90.886,7.6469,27.95
6152.56,94.76,82.25,90.886,6.8694,27.95
5949.39,87.15,82.25,91.43,7.5317,27.95
5785.19,84.67,82.25,91.43,7.5559,27.95
5824.24,84.64,82.25,91.43,7.0555,27.95
5898.72,84.02,82.25,91.43,6.3447,27.95
5902.92,84.23,82.25,91.43,6.7275,27.95
5997.53,89.05,82.25,91.43,7.4703,27.95
6521.47,114.84,82.25,91.43,13.3857,27.95
6697.75,134.87,82.25,91.43,12.3162,27.95
6629.55,143,82.25,91.43,14.1325,27.95
6452.98,130.39,82.25,91.43,13.3123,27.95
6595.58,121.47,82.25,91.43,16.4433,27.95
6607.72,109.13,82.25,91.43,12.0227,27.95
6623.56,102.21,82.25,91.43,14.4853,27.95
6386.49,113.34,82.25,91.43,19.2677,27.95
6448.64,122.03,82.25,91.43,17.8111,27.95
6395.72,130.06,82.25,91.43,13.1926,27.95
6340.37,134.64,82.25,91.43,16.8121,27.95
6987.84,143.79,82.25,91.43,15.3476,27.95
7114.86,136.64,82.25,91.43,14.3802,27.95
7026.54,128.98,82.25,91.43,13.2013,27.95
6393.91,117.12,82.25,91.43,14.7215,27.95
6415.29,107.12,82.25,91.43,10.5444,27.95
6410.46,83.1,82.25,91.43,7.2639,27.95
6219.49,30.07,82.25,91.43,6.7494,27.95
6105.29,83.1,82.25,88.498,7.471,27.95
6064.37,74.1,82.25,88.498,6.0331,27.95
6079.74,24.39,82.25,88.498,6.4643,27.95
6041.7,40,82.25,88.498,6.9141,27.95
6078.79,68.47,82.25,88.498,6.2206,27.95
6414.12,34.36,82.25,88.498,7.2959,27.95
7170.49,99.62,82.25,88.498,8.1038,27.95
7356.03,114.06,82.25,88.498,10.2862,27.95
6961.17,137.62,82.25,88.498,13.2836,27.95
6414.82,126.06,82.25,88.498,15.9509,27.95
6604.38,110.92,82.25,88.498,15.7398,27.95
6456.15,103.92,82.25,88.498,15.9705,27.95
6322.98,97,82.25,88.498,17.3305,27.95
6030.88,99,82.25,88.498,13.846,27.95
6159.46,105.98,82.25,88.498,13.8897,27.95
6221.3,124.1,82.25,88.498,14.1828,27.95
6165.66,141.86,82.25,88.498,9.5966,27.95
6757.42,155,82.25,88.498,15.1762,27.95
6907.83,200,82.25,88.498,15.4536,27.95
6797.23,145.44,82.25,88.498,11.753,27.95
6085.63,123.51,82.25,88.498,15.5474,27.95
5767.61,108.2,82.25,88.498,11.2736,27.95
5642.24,100,82.25,88.498,7.3124,27.95
5355.4,96.97,82.25,88.498,7.2217,27.95
5047.02,90.94,82.25,82.675,7.4379,27.95
5046.22,88.13,82.25,82.675,6.735,27.95
5132.64,86.3,82.25,82.675,7.3588,27.95
5210.19,86.85,82.25,82.675,7.0082,27.95
5314.27,92.24,82.25,82.675,6.9365,27.95
5611.39,103.41,82.25,82.675,7.2936,27.95
6458.85,124.5,82.25,82.675,10.3458,27.95
6914.48,137.15,82.25,82.675,12.1175,27.95
7026.39,140.74,82.25,82.675,13.5479,27.95
7061.62,134.96,82.25,82.675,13.2091,27.95
7543.08,150.03,82.25,82.675,17.8527,27.95
7536.88,136.48,82.25,82.675,16.0587,27.95
7381.56,124.57,82.25,82.675,14.51,27.95
7019.9,124.32,82.25,82.675,16.4034,27.95
7162.14,150.51,82.25,82.675,13.7698,27.95
7372.45,203,82.25,82.675,12.6888,27.95
7514.49,299.02,82.25,82.675,13.1254,27.95
7889.68,200.01,82.25,82.675,14.5913,27.95
8024.33,155,82.25,82.675,13.5727,27.95
7791.86,122.84,82.25,82.675,12.5834,27.95
6993.87,108.87,82.25,82.675,12.4853,27.95
6744.92,98.66,82.25,82.675,10.9338,27.95
6516.32,93.57,82.25,82.675,6.7275,27.95
6264.65,85.15,82.25,82.675,7.2793,27.95
6156.21,75.64,82.25,79.105,5.6622,27.95
6025.24,74.85,82.25,79.105,5.6623,27.95
5882.31,73.65,82.25,79.105,5.4681,27.95
5881.74,71.37,82.25,79.105,6.2826,27.95
5978.57,72.24,82.25,79.105,6.1529,27.95
6253.97,74.33,82.25,79.105,5.868,27.95
6831.22,79.34,82.25,79.105,9.1819,27.95
7167.96,79.49,82.25,79.105,8.8848,27.95
7051.52,80.19,82.25,79.105,12.3762,27.95
6767.52,80.2,82.25,79.105,11.5493,27.95
7119.18,80.19,82.25,79.105,12.721,27.95
7187.34,74.18,82.25,79.105,13.9791,27.95
7148.88,70.66,82.25,79.105,12.1566,27.95
6762.02,67.51,82.25,79.105,11.7896,27.95
6697.06,75.51,82.25,79.105,13.0615,27.95
6793.39,80.18,82.25,79.105,12.8186,27.95
6964.26,80.19,82.25,79.105,12.7212,27.95
7278.47,79.09,82.25,79.105,13.1877,27.95
7217.21,79.09,82.25,79.105,12.8734,27.95
7094.08,73.82,82.25,79.105,10.469,27.95
6470.67,73.06,82.25,79.105,12.5983,27.95
6399.11,80.19,82.25,79.105,7.8278,27.95
6245.32,67.35,82.25,79.105,6.0075,27.95
6158.65,61.65,82.25,79.105,6.1052,27.95
6064.77,64.02,82.25,79.105,6.0264,27.95
6179.49,62.11,82.25,79.105,6.1404,27.95
6079.49,62.93,82.25,79.105,5.9896,27.95
6058.97,64.88,82.25,79.105,6.3641,27.95
6212.18,65.38,82.25,79.105,6.4142,27.95
6396.33,65.2,82.25,79.105,6.1838,27.95
6734.16,67.62,82.25,79.105,10.2899,27.95
7032.44,72.01,82.25,79.105,10.3092,27.95
7418.62,76.79,82.25,79.105,10.5062,27.95
7395.4,81.38,82.25,79.105,11.4867,27.95
7818.57,81.33,82.25,79.105,13.5726,27.95
7745.13,82.79,81.7,79.105,10.6789,27.95
7601.41,81.07,81.52,79.105,11.2517,27.95
7504.28,77.04,81.52,79.105,13.01,27.95
7882.24,79.15,81.52,79.105,13.3632,27.95
8081.55,82.32,81.52,79.105,13.4253,27.95
8216.91,86.62,81.52,79.105,12.5627,27.95
8669.79,91.86,81.52,79.105,11.3475,27.95
8644.4,94.64,81.52,79.105,11.4067,27.95
8652.85,85.26,81.52,79.105,11.3365,27.95
8202.81,79.06,81.52,79.105,11.7355,27.95
8069.58,78.41,81.52,79.105,10.5265,27.95
7941.98,74.67,81.52,79.105,5.4661,27.95
7719.52,66.89,81.52,79.105,5.2488,27.95
7634.03,69.65,81.52,89.824,6.9961,27.95
7504.95,66.05,81.52,89.824,6.4503,27.95
7424.86,64.31,81.52,89.824,6.82,27.95
7300.16,62.04,81.52,89.824,7.2398,27.95
7563.16,63.57,81.52,89.824,7.2869,27.95
7918.89,70.57,81.52,89.824,6.8168,27.95
8630.93,85.79,81.52,89.824,11.3495,27.95
8742.03,113.52,81.52,89.824,12.6356,27.95
8701.37,111.04,81.52,89.824,12.1766,27.95
8649.9,128.06,81.52,89.824,12.6783,27.95
8985.98,101.89,81.52,89.824,15.0563,27.95
8792.58,129.02,81.52,89.824,16.5627,27.95
8664.41,129.08,81.52,89.824,15.1461,27.95
