thermal_demand,electricity_price,co2_price,gas_price,waste_heat,biomass_price,loss_ratio,thermal_demand_with_losses
5458.6,38.37,82.25,70.807,6.9248,26.03,0.016399999999999998,5548.12104
5393.36,28.46,82.25,70.807,6.9642,26.03,0.016399999999999998,5481.811103999999
5356.19,26.66,82.25,70.807,6.8958,26.03,0.016399999999999998,5444.031515999999
5329.82,24.48,82.25,70.807,6.5079,26.03,0.016399999999999998,5417.229047999999
5432.13,24.01,82.25,70.807,6.5961,26.03,0.016399999999999998,5521.216932
5487.92,21.23,82.25,70.807,6.6682,26.03,0.016399999999999998,5577.921888
5693.57,22.62,82.25,70.807,12.209,26.03,0.016399999999999998,5786.9445479999995
5718.23,25.04,82.25,70.807,10.1656,26.03,0.016399999999999998,5812.008972
5745.83,26.24,82.25,70.807,12.065,26.03,0.016399999999999998,5840.0616119999995
5622.92,32.21,82.25,70.807,11.7681,26.03,0.016399999999999998,5715.135888
6101.44,41.34,82.25,70.807,18.8449,26.03,0.016399999999999998,6201.503615999999
6124.91,43.51,82.25,70.807,17.5768,26.03,0.016399999999999998,6225.358523999999
6181.25,58.64,82.25,70.807,17.125,26.03,0.016399999999999998,6282.6224999999995
5858.49,61.14,82.25,70.807,17.5935,26.03,0.016399999999999998,5954.569235999999
5854.98,60.34,82.25,70.807,17.198,26.03,0.016399999999999998,5951.001671999999
5795.81,77.56,82.25,70.807,15.3591,26.03,0.016399999999999998,5890.8612840000005
5767.59,68.4,82.25,70.807,10.9628,26.03,0.016399999999999998,5862.178476
6348.98,74.16,82.25,70.807,15.9076,26.03,0.016399999999999998,6453.103271999999
6478.88,65.01,82.25,70.807,16.5356,26.03,0.016399999999999998,6585.133632
6279.24,55.91,82.25,70.807,14.1199,26.03,0.016399999999999998,6382.219536
5651.17,48.15,82.25,70.807,10.6807,26.03,0.016399999999999998,5743.849188
5556.96,64.94,82.25,70.807,11.1885,26.03,0.016399999999999998,5648.094144
5652.89,45.2,82.25,70.807,7.3308,26.03,0.016399999999999998,5745.597396
5643.71,38.0,82.25,70.807,7.006,26.03,0.016399999999999998,5736.266844
5579.19,38.0,82.25,70.807,6.5199,26.03,0.016399999999999998,5670.688716
5506.64,33.56,82.25,70.807,6.9894,26.03,0.016399999999999998,5596.948896
5498.66,32.03,82.25,70.807,6.5395,26.03,0.016399999999999998,5588.838024
5500.73,53.5,82.25,70.807,6.8195,26.03,0.016399999999999998,5590.941972
5472.78,76.48,82.25,70.807,5.834,26.03,0.016399999999999998,5562.533592
5457.96,180.05,82.25,70.807,7.5142,26.03,0.016399999999999998,5547.470544
5786.1,110.09,82.25,70.807,12.7035,26.03,0.016399999999999998,5880.99204
5989.87,483.08,82.25,70.807,11.5692,26.03,0.016399999999999998,6088.103868
6045.87,250.03,82.25,70.807,14.6331,26.03,0.016399999999999998,6145.022268
5857.52,120.0,82.25,70.807,16.4187,26.03,0.016399999999999998,5953.583328000001
6109.82,110.02,82.25,70.807,11.0288,26.03,0.016399999999999998,6210.021048
6011.12,98.1,82.25,70.807,15.3532,26.03,0.016399999999999998,6109.702367999999
5777.11,128.1,82.25,70.807,13.4887,26.03,0.016399999999999998,5871.854603999999
5413.57,100.1,82.25,70.807,15.5292,26.03,0.016399999999999998,5502.352548
5439.67,100.09,82.25,70.807,12.7894,26.03,0.016399999999999998,5528.880588
5629.46,97.14,82.25,70.807,18.4273,26.03,0.016399999999999998,5721.783144
5678.28,99.25,82.25,70.807,17.3297,26.03,0.016399999999999998,5771.403791999999
6116.29,94.89,82.25,70.807,16.4106,26.03,0.016399999999999998,6216.597156
6281.08,91.7,82.25,70.807,13.6379,26.03,0.016399999999999998,6384.089712
6232.17,88.52,82.25,70.807,10.8087,26.03,0.016399999999999998,6334.377588
5709.15,100.06,82.25,70.807,12.5917,26.03,0.016399999999999998,5802.780059999999
5621.54,100.02,82.25,70.807,13.4899,26.03,0.016399999999999998,5713.7332559999995
5513.58,40.99,82.25,70.807,7.6668,26.03,0.016399999999999998,5604.0027119999995
5420.41,38.35,82.25,70.807,7.2039,26.03,0.016399999999999998,5509.304724
5385.45,49.08,82.25,70.807,7.264,26.03,0.016399999999999998,5473.771379999999
5371.91,49.06,82.25,70.807,7.2112,26.03,0.016399999999999998,5460.009324
5210.5,49.05,82.25,70.807,7.2307,26.03,0.016399999999999998,5295.9522
5230.55,49.05,82.25,70.807,6.5244,26.03,0.016399999999999998,5316.33102
5141.48,49.07,82.25,70.807,6.7166,26.03,0.016399999999999998,5225.8002719999995
5200.9,86.7,82.25,70.807,7.0001,26.03,0.016399999999999998,5286.194759999999
